lr-SGD,epoch,train_loss,step
0.005,,,49
,0,0.9160470962524414,49
0.005,,,99
,0,0.7701061367988586,99
0.005,,,149
,0,0.9087779521942139,149
0.005,,,199
,0,0.5219754576683044,199
0.005,,,249
,0,0.48746612668037415,249
0.005,,,299
,0,0.4430340826511383,299
0.005,,,349
,0,1.0961873531341553,349
0.005,,,399
,0,0.7065871357917786,399
0.005,,,449
,0,0.6155765056610107,449
0.005,,,499
,0,0.6786751747131348,499
0.005,,,549
,0,0.3629361093044281,549
0.005,,,599
,0,0.3457072377204895,599
0.005,,,649
,0,0.3484727144241333,649
0.005,,,699
,0,0.4014464020729065,699
0.005,,,749
,0,0.9441531896591187,749
0.005,,,799
,0,0.7526814937591553,799
0.005,,,849
,0,0.5615779161453247,849
0.005,,,899
,0,0.20836658775806427,899
0.005,,,949
,0,0.4919430613517761,949
0.005,,,999
,0,0.21189400553703308,999
0.005,,,1049
,0,0.6432023048400879,1049
0.005,,,1099
,0,0.3851690888404846,1099
0.005,,,1149
,0,1.1888092756271362,1149
0.005,,,1199
,0,0.10726823657751083,1199
0.005,,,1249
,0,0.4356037378311157,1249
0.005,,,1299
,0,0.32057783007621765,1299
0.005,,,1349
,0,0.27666327357292175,1349
0.005,,,1399
,0,0.396058052778244,1399
0.005,,,1449
,0,0.19681528210639954,1449
0.005,,,1499
,0,0.2915583848953247,1499
0.005,,,1549
,0,0.12861953675746918,1549
0.005,,,1599
,0,0.33894461393356323,1599
0.005,,,1649
,0,0.420382559299469,1649
0.005,,,1699
,0,0.33246463537216187,1699
0.005,,,1749
,0,0.3662470877170563,1749
0.005,,,1799
,0,0.7532932162284851,1799
0.005,,,1849
,0,0.9470536708831787,1849
0.005,,,1899
,0,0.12955528497695923,1899
0.005,,,1949
,0,0.20735852420330048,1949
0.005,,,1999
,0,0.23534847795963287,1999
0.005,,,2049
,0,0.7202014327049255,2049
0.005,,,2099
,0,0.811201810836792,2099
0.005,,,2149
,0,0.33388611674308777,2149
0.005,,,2199
,0,0.7528705596923828,2199
0.005,,,2249
,0,0.5313835740089417,2249
0.005,,,2299
,0,0.4335518479347229,2299
0.005,,,2349
,0,0.5200678706169128,2349
0.005,,,2399
,0,0.230359748005867,2399
0.005,,,2449
,0,0.31694430112838745,2449
0.005,,,2499
,0,0.7202131748199463,2499
0.005,,,2549
,0,0.6769800186157227,2549
0.005,,,2599
,0,0.1885184943675995,2599
0.005,,,2649
,0,0.6900890469551086,2649
0.005,,,2699
,0,0.700615406036377,2699
0.005,,,2749
,0,0.3295758366584778,2749
0.005,,,2799
,0,0.31330177187919617,2799
0.005,,,2849
,0,0.5420809388160706,2849
0.005,,,2899
,0,0.2583463788032532,2899
0.005,,,2949
,0,0.6306126117706299,2949
0.005,,,2999
,0,0.6220100522041321,2999
0.005,,,3049
,0,0.7246317267417908,3049
0.005,,,3099
,0,0.2785567343235016,3099
0.005,,,3149
,0,0.24875646829605103,3149
0.005,,,3199
,0,0.2293206751346588,3199
0.005,,,3249
,0,0.21107721328735352,3249
0.005,,,3299
,0,0.47940367460250854,3299
0.005,,,3349
,0,0.2184787541627884,3349
0.005,,,3399
,0,0.1359928697347641,3399
0.005,,,3449
,0,0.5621504783630371,3449
0.005,,,3499
,0,0.196755051612854,3499
0.005,,,3549
,0,0.19670553505420685,3549
0.005,,,3599
,0,0.13479989767074585,3599
0.005,,,3649
,0,0.17631898820400238,3649
0.005,,,3699
,0,1.0996140241622925,3699
0.005,,,3749
,0,0.16608765721321106,3749
0.005,,,3799
,1,0.2893245220184326,3799
0.005,,,3849
,1,0.6983563303947449,3849
0.005,,,3899
,1,0.4889844059944153,3899
0.005,,,3949
,1,0.27200424671173096,3949
0.005,,,3999
,1,0.29496657848358154,3999
0.005,,,4049
,1,0.23621077835559845,4049
0.005,,,4099
,1,0.3838980793952942,4099
0.005,,,4149
,1,0.3707115054130554,4149
0.005,,,4199
,1,0.3808954954147339,4199
0.005,,,4249
,1,0.20712733268737793,4249
0.005,,,4299
,1,0.32579943537712097,4299
0.005,,,4349
,1,0.18499737977981567,4349
0.005,,,4399
,1,0.19349682331085205,4399
0.005,,,4449
,1,0.28801095485687256,4449
0.005,,,4499
,1,0.6776866912841797,4499
0.005,,,4549
,1,0.5299935936927795,4549
0.005,,,4599
,1,0.23248201608657837,4599
0.005,,,4649
,1,0.11970455944538116,4649
0.005,,,4699
,1,0.5178278684616089,4699
0.005,,,4749
,1,0.23956841230392456,4749
0.005,,,4799
,1,0.824846088886261,4799
0.005,,,4849
