epoch,step,train_loss,lr-SGD,test_acc,test_loss
,49,,0.05,,
0,49,nan,,,
,99,,0.05,,
0,99,nan,,,
,149,,0.05,,
0,149,nan,,,
,199,,0.05,,
0,199,nan,,,
,249,,0.05,,
0,249,nan,,,
,299,,0.05,,
0,299,nan,,,
,349,,0.05,,
0,349,nan,,,
,399,,0.05,,
0,399,nan,,,
,449,,0.05,,
0,449,nan,,,
,499,,0.05,,
0,499,nan,,,
,549,,0.05,,
0,549,nan,,,
,599,,0.05,,
0,599,nan,,,
,649,,0.05,,
0,649,nan,,,
,699,,0.05,,
0,699,nan,,,
,749,,0.05,,
0,749,nan,,,
,799,,0.05,,
0,799,nan,,,
,849,,0.05,,
0,849,nan,,,
,899,,0.05,,
0,899,nan,,,
,949,,0.05,,
0,949,nan,,,
,999,,0.05,,
0,999,nan,,,
,1049,,0.05,,
0,1049,nan,,,
,1099,,0.05,,
0,1099,nan,,,
,1149,,0.05,,
0,1149,nan,,,
,1199,,0.05,,
0,1199,nan,,,
,1249,,0.05,,
0,1249,nan,,,
,1299,,0.05,,
0,1299,nan,,,
,1349,,0.05,,
0,1349,nan,,,
,1399,,0.05,,
0,1399,nan,,,
,1449,,0.05,,
0,1449,nan,,,
,1499,,0.05,,
0,1499,nan,,,
,1549,,0.05,,
0,1549,nan,,,
,1599,,0.05,,
0,1599,nan,,,
,1649,,0.05,,
0,1649,nan,,,
,1699,,0.05,,
0,1699,nan,,,
,1749,,0.05,,
0,1749,nan,,,
,1799,,0.05,,
0,1799,nan,,,
,1849,,0.05,,
0,1849,nan,,,
,1899,,0.05,,
0,1899,nan,,,
,1949,,0.05,,
0,1949,nan,,,
,1999,,0.05,,
0,1999,nan,,,
,2049,,0.05,,
0,2049,nan,,,
,2099,,0.05,,
0,2099,nan,,,
,2149,,0.05,,
0,2149,nan,,,
,2199,,0.05,,
0,2199,nan,,,
,2249,,0.05,,
0,2249,nan,,,
,2299,,0.05,,
0,2299,nan,,,
,2349,,0.05,,
0,2349,nan,,,
,2399,,0.05,,
0,2399,nan,,,
,2449,,0.05,,
0,2449,nan,,,
,2499,,0.05,,
0,2499,nan,,,
,2549,,0.05,,
0,2549,nan,,,
,2599,,0.05,,
0,2599,nan,,,
,2649,,0.05,,
0,2649,nan,,,
,2699,,0.05,,
0,2699,nan,,,
,2749,,0.05,,
0,2749,nan,,,
,2799,,0.05,,
0,2799,nan,,,
,2849,,0.05,,
0,2849,nan,,,
,2899,,0.05,,
0,2899,nan,,,
,2949,,0.05,,
0,2949,nan,,,
,2999,,0.05,,
0,2999,nan,,,
,3049,,0.05,,
0,3049,nan,,,
,3099,,0.05,,
0,3099,nan,,,
,3149,,0.05,,
0,3149,nan,,,
,3199,,0.05,,
0,3199,nan,,,
,3249,,0.05,,
0,3249,nan,,,
,3299,,0.05,,
0,3299,nan,,,
,3349,,0.05,,
0,3349,nan,,,
,3399,,0.05,,
0,3399,nan,,,
,3449,,0.05,,
0,3449,nan,,,
,3499,,0.05,,
0,3499,nan,,,
,3549,,0.05,,
0,3549,nan,,,
,3599,,0.05,,
0,3599,nan,,,
,3649,,0.05,,
0,3649,nan,,,
,3699,,0.05,,
0,3699,nan,,,
,3749,,0.05,,
0,3749,nan,,,
,3799,,0.05,,
1,3799,nan,,,
,3849,,0.05,,
1,3849,nan,,,
,3899,,0.05,,
1,3899,nan,,,
,3949,,0.05,,
1,3949,nan,,,
,3999,,0.05,,
1,3999,nan,,,
,4049,,0.05,,
1,4049,nan,,,
,4099,,0.05,,
1,4099,nan,,,
,4149,,0.05,,
1,4149,nan,,,
,4199,,0.05,,
1,4199,nan,,,
,4249,,0.05,,
1,4249,nan,,,
,4299,,0.05,,
1,4299,nan,,,
,4349,,0.05,,
1,4349,nan,,,
,4399,,0.05,,
1,4399,nan,,,
,4449,,0.05,,
1,4449,nan,,,
,4499,,0.05,,
1,4499,nan,,,
,4549,,0.05,,
1,4549,nan,,,
,4599,,0.05,,
1,4599,nan,,,
,4649,,0.05,,
1,4649,nan,,,
,4699,,0.05,,
1,4699,nan,,,
,4749,,0.05,,
1,4749,nan,,,
,4799,,0.05,,
1,4799,nan,,,
,4849,,0.05,,
1,4849,nan,,,
,4899,,0.05,,
1,4899,nan,,,
,4949,,0.05,,
1,4949,nan,,,
,4999,,0.05,,
1,4999,nan,,,
,5049,,0.05,,
1,5049,nan,,,
,5099,,0.05,,
1,5099,nan,,,
,5149,,0.05,,
1,5149,nan,,,
,5199,,0.05,,
1,5199,nan,,,
,5249,,0.05,,
1,5249,nan,,,
,5299,,0.05,,
1,5299,nan,,,
,5349,,0.05,,
1,5349,nan,,,
,5399,,0.05,,
1,5399,nan,,,
,5449,,0.05,,
1,5449,nan,,,
,5499,,0.05,,
1,5499,nan,,,
,5549,,0.05,,
1,5549,nan,,,
,5599,,0.05,,
1,5599,nan,,,
,5649,,0.05,,
1,5649,nan,,,
,5699,,0.05,,
1,5699,nan,,,
,5749,,0.05,,
1,5749,nan,,,
,5799,,0.05,,
1,5799,nan,,,
,5849,,0.05,,
1,5849,nan,,,
