train_loss,epoch,lr-SGD,step
,,0.05,49
nan,0,,49
,,0.05,99
nan,0,,99
,,0.05,149
nan,0,,149
,,0.05,199
nan,0,,199
,,0.05,249
nan,0,,249
,,0.05,299
nan,0,,299
,,0.05,349
nan,0,,349
,,0.05,399
nan,0,,399
,,0.05,449
nan,0,,449
,,0.05,499
nan,0,,499
,,0.05,549
nan,0,,549
,,0.05,599
nan,0,,599
,,0.05,649
nan,0,,649
,,0.05,699
nan,0,,699
,,0.05,749
nan,0,,749
,,0.05,799
nan,0,,799
,,0.05,849
nan,0,,849
,,0.05,899
nan,0,,899
,,0.05,949
nan,0,,949
,,0.05,999
nan,0,,999
,,0.05,1049
nan,0,,1049
,,0.05,1099
nan,0,,1099
,,0.05,1149
nan,0,,1149
,,0.05,1199
nan,0,,1199
,,0.05,1249
nan,0,,1249
,,0.05,1299
nan,0,,1299
,,0.05,1349
nan,0,,1349
,,0.05,1399
nan,0,,1399
,,0.05,1449
nan,0,,1449
,,0.05,1499
nan,0,,1499
,,0.05,1549
nan,0,,1549
,,0.05,1599
nan,0,,1599
,,0.05,1649
nan,0,,1649
,,0.05,1699
nan,0,,1699
,,0.05,1749
nan,0,,1749
,,0.05,1799
nan,0,,1799
,,0.05,1849
nan,0,,1849
,,0.05,1899
nan,0,,1899
,,0.05,1949
nan,0,,1949
,,0.05,1999
nan,0,,1999
,,0.05,2049
nan,0,,2049
,,0.05,2099
nan,0,,2099
,,0.05,2149
nan,0,,2149
,,0.05,2199
nan,0,,2199
,,0.05,2249
nan,0,,2249
,,0.05,2299
nan,0,,2299
,,0.05,2349
nan,0,,2349
,,0.05,2399
nan,0,,2399
,,0.05,2449
nan,0,,2449
,,0.05,2499
nan,0,,2499
,,0.05,2549
nan,0,,2549
,,0.05,2599
nan,0,,2599
,,0.05,2649
nan,0,,2649
,,0.05,2699
nan,0,,2699
,,0.05,2749
nan,0,,2749
,,0.05,2799
nan,0,,2799
,,0.05,2849
nan,0,,2849
,,0.05,2899
nan,0,,2899
,,0.05,2949
nan,0,,2949
,,0.05,2999
nan,0,,2999
,,0.05,3049
nan,0,,3049
,,0.05,3099
nan,0,,3099
,,0.05,3149
nan,0,,3149
,,0.05,3199
nan,0,,3199
,,0.05,3249
nan,0,,3249
,,0.05,3299
nan,0,,3299
,,0.05,3349
nan,0,,3349
,,0.05,3399
nan,0,,3399
,,0.05,3449
nan,0,,3449
,,0.05,3499
nan,0,,3499
,,0.05,3549
nan,0,,3549
,,0.05,3599
nan,0,,3599
,,0.05,3649
nan,0,,3649
,,0.05,3699
nan,0,,3699
,,0.05,3749
nan,0,,3749
,,0.05,3799
nan,1,,3799
,,0.05,3849
nan,1,,3849
,,0.05,3899
nan,1,,3899
,,0.05,3949
nan,1,,3949
,,0.05,3999
nan,1,,3999
,,0.05,4049
nan,1,,4049
,,0.05,4099
nan,1,,4099
,,0.05,4149
nan,1,,4149
,,0.05,4199
nan,1,,4199
,,0.05,4249
nan,1,,4249
,,0.05,4299
nan,1,,4299
,,0.05,4349
nan,1,,4349
,,0.05,4399
nan,1,,4399
,,0.05,4449
nan,1,,4449
,,0.05,4499
nan,1,,4499
,,0.05,4549
nan,1,,4549
,,0.05,4599
nan,1,,4599
,,0.05,4649
nan,1,,4649
,,0.05,4699
nan,1,,4699
,,0.05,4749
nan,1,,4749
,,0.05,4799
nan,1,,4799
,,0.05,4849
nan,1,,4849
,,0.05,4899
nan,1,,4899
,,0.05,4949
nan,1,,4949
,,0.05,4999
nan,1,,4999
,,0.05,5049
nan,1,,5049
,,0.05,5099
nan,1,,5099
,,0.05,5149
nan,1,,5149
,,0.05,5199
nan,1,,5199
,,0.05,5249
nan,1,,5249
,,0.05,5299
nan,1,,5299
,,0.05,5349
nan,1,,5349
,,0.05,5399
nan,1,,5399
,,0.05,5449
nan,1,,5449
,,0.05,5499
nan,1,,5499
,,0.05,5549
nan,1,,5549
,,0.05,5599
nan,1,,5599
,,0.05,5649
nan,1,,5649
,,0.05,5699
nan,1,,5699
,,0.05,5749
nan,1,,5749
,,0.05,5799
nan,1,,5799
,,0.05,5849
nan,1,,5849
,,0.05,5899
nan,1,,5899
,,0.05,5949
nan,1,,5949
,,0.05,5999
nan,1,,5999
,,0.05,6049
nan,1,,6049
,,0.05,6099
nan,1,,6099
,,0.05,6149
nan,1,,6149
,,0.05,6199
nan,1,,6199
,,0.05,6249
nan,1,,6249
,,0.05,6299
nan,1,,6299
,,0.05,6349
nan,1,,6349
,,0.05,6399
nan,1,,6399
,,0.05,6449
nan,1,,6449
,,0.05,6499
nan,1,,6499
,,0.05,6549
nan,1,,6549
,,0.05,6599
nan,1,,6599
